Year,Title,Sequel,ReleaseDate,StoryLine,Runtime,SoundMix,Color,AspectRatio,MPAA,RateScore,NumRate,NumReview,NumCritic,ProductionDate,FilmingDate,gross,budget,critic,numrate,numreview,ratescore,nummon,day,daynum,budget_class,competition,ActorScore,ActorScore_budget,Country,BigSix,country_num,ThreeD,mpaa,gross_ind,NewBigSix
1995,Friday (1995),0,Release Date: 26 April 1995 (USA) See more Ф_,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and looking for something to do. Encounters with neighbors and other friends over the course of the day and night, and their ensuing antics, make up the rest of the movie. Written by Anonymous",91 min,Sound Mix: Dolby Digital,Black and White,Aspect Ratio: 1.85 : 1,"Rated R for pervasive strong language and drug use, and for a brutal fight",7.3,"67,900",153 user,19 critic,August ,null,31380133.01,3936575.825,19,67900,153,7.3,4,26,146,1,25,-0.311279481,21.79297906,USA,0,1,0,R,6,0
1995,Batman Forever (1995),0,Release Date: 16 June 1995 (USA) See more Ф_,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face incorrectly believes Batman caused the courtroom accident which left him disfigured on one side; he has unleashed a reign of terror on the good people of Gotham. Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler he perfects a device for draining information from all the brains in Gotham, including Bruce Wayne's knowledge of his other identity. Batman/Wayne is/are the love focus of Dr. Chase Meridan. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin the Boy Wonder. Written by Ed Stephan <stephan@cc.wwu.edu>",121 min,Sound Mix: Dolby Digital | SDDS,Color,Aspect Ratio: 1.85 : 1,Rated PG-13 for strong stylized action,5.4,"178,561",525 user,135 critic,null,24 September 1994 - 7 March ,206949057.4,112473595,135,178561,525,5.4,6,16,196,5,37,19.88143678,4.580088226,USA,1,1,0,PG-13,9,1
1995,Twelve Monkeys (1995),0,Release Date: 5 January 1996 (USA) See more Ф_,"An unknown and lethal virus has wiped out five billion people in 1996. Only 1% of the population has survived by the year 2035, and is forced to live underground. A convict (James Cole) reluctantly volunteers to be sent back in time to 1996 to gather information about the origin of the epidemic (who he's told was spread by a mysterious ""Army of the Twelve Monkeys"") and locate the virus before it mutates so that scientists can study it. Unfortunately Cole is mistakenly sent to 1990, six years earlier than expected, and is arrested and locked up in a mental institution, where he meets Dr. Kathryn Railly, a psychiatrist, and Jeffrey Goines, the insane son of a famous scientist and virus expert. Written by Giancarlo Cairella <vertigo@imdb.com>",129 min,Sound Mix: DTS-Stereo | DTS | Dolby SR,Color,Aspect Ratio: 1.85 : 1,Rated R for violence and language,8.1,"428,391",527 user,137 critic,null,8 February 1995 - 6 May ,64269053.17,32617342.55,137,428391,527,8.1,1,5,35,4,17,7.702099843,4.379810913,USA,0,1,0,R,8,1
1995,Jumanji (1995),0,Release Date: 15 December 1995 (USA) See more Ф_,"After being trapped in a jungle board game for 26 years, a Man-Child wins his release from the game. But, no sooner has he arrived that he is forced to play again, and this time sets the creatures of the jungle loose on the city. Now it is up to him to stop them. Written by Joshua Davis <xtnb64a@prodigy.com>",104 min,Sound Mix: Dolby Digital (Dolby Digital 5.1) (5.1 Surround Sound) (L-R)| Dolby SR (Dolby 5.1) (5.1 Surround Sound) (L-R)| SDDS (8 channels) (5.1 Surround Sound) (L-R)| 3 Channel Stereo (5.1 Surround Sound) (L-R),Color,Aspect Ratio: 1.85 : 1,Rated PG for menacing fantasy action and some mild language,6.9,"188,801",142 user,73 critic,null,14 November 1994 - 7 April ,113008124.6,56236797.5,73,188801,142,6.9,12,15,375,5,53,7.304683392,2.622534941,USA,0,1,0,PG,9,0
1995,Kids (1995),0,Release Date: 28 July 1995 (USA) See more Ф_,"Disturbing, dark, low-budget independent film about teen-agers in New York City. The story focuses on Telly (Leo Fitzpatrick), a teen who has a goal to de-flower as many virgins as he can. When one of his old encounters discovers that she is H.I.V.-positive, after only one encounter with a guy, Telly remains undaunted. Written by Allison L. Venezio <YankeeSNL01@aol.com>",91 min,Sound Mix: Dolby Digital,Color,Aspect Ratio: 1.85 : 1,16+,7,"55,740",405 user,61 critic,null,18 July 1994 - 26 August ,8342402.736,1687103.925,61,55740,405,7,7,28,238,1,34,-2.239295235,11.42844,USA,0,1,0,R,3,0
1995,Bad Boys (1995),0,Release Date: 7 April 1995 (USA) See more Ф_,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other. Written by James Hastie <jdh1000@cus.cam.ac.uk>",118 min,Sound Mix: Dolby SR | SDDS,Color,Aspect Ratio: 1.85 : 1,Rated R for intense violent action and pervasive strong language,6.8,"159,932",199 user,53 critic,27 June 1994 - 31 August ,28 October 1994 - 16 February ,73825240.58,21369983.05,53,159932,199,6.8,4,7,127,3,29,3.73177909,6.957889793,USA,0,1,0,R,8,0
1995,Hackers (1995),0,Release Date: 15 September 1995 (USA) See more Ф_,"A young boy is arrested by the U.S. Secret Service for writing a computer virus and is banned from using a computer until his 18th birthday. Years later, he and his new-found friends discover a plot to unleash a dangerous computer virus, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus. Written by Alexander Lum <aj_lum@postoffice.utas.edu.au>",107 min,Sound Mix: DTS-Stereo | DTS,Color,Aspect Ratio: 2.35 : 1,Rated PG-13 for some sexuality and brief strong language,6.2,"52,021",220 user,72 critic,17 September 1994 - 2 December ,2 November 1994 - 2 July ,8507502.726,22494719,72,52021,220,6.2,9,15,285,3,36,-2.224240537,-2.271379997,USA,0,1,0,PG-13,3,0
1995,Apollo 13 (1995),0,Release Date: 30 June 1995 (USA) See more Ф_,"Based on the true story of the ill-fated 13th Apollo mission bound for the moon. Astronauts Lovell, Haise and Swigert were scheduled to fly Apollo 14, but are moved up to 13. It's 1970, and America have already achieved their lunar landing goal, so there's little interest in this ""routine"" flight.. until that is, things go very wrong, and prospects of a safe return fade. Written by Rob Hartill",140 min,Sound Mix: DTS-Stereo | DTS | IMAX 6-Track (IMAX version)| Dolby SR,Color,Aspect Ratio: 2.35 : 1,Rated PG for language and emotional intensity,7.6,"196,069",287 user,150 critic,null,15 August 1994 - 9 December ,1952857.66,69733628.9,150,196069,287,7.6,6,30,210,5,44,-2.79138009,-3.452462966,USA,0,1,0,PG,2,1
1995,Species (1995),0,Release Date: 7 July 1995 (USA) See more Ф_,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye. Government agent Xavier Fitch assembles a team of scientists and mercenaries to locate and destroy Sil before she manages to find a mate and breed. Written by Alexander Lum <aj_lum@postoffice.utas.edu.au>",108 min,Sound Mix: DTS | Dolby SR,Color,Aspect Ratio: 2.35 : 1,"Rated R for sci-fi violence, strong sexuality and some language",5.8,"58,013",139 user,95 critic,23 November 1994 - 5 April ,23 November 1994 - 5 April ,67567503.31,39365758.25,95,58013,139,5.8,7,7,217,4,41,3.161165238,1.743228832,USA,0,1,0,R,8,0
1995,Pocahontas (1995),0,Release Date: 23 June 1995 (USA) See more Ф_,"Capt. John Smith leads a rag-tag band of English sailors & soldiers to the New World to plunder its riches for England (or, more precisely, for Governor Ratcliffe, who comes along for the ride). Meanwhile, in this ""New World,"" Chief Powhatan has pledged his daughter, Pocahontas, to be married to the village's greatest warrior. Pocahontas, however, has other ideas. She has seen a vision of a spinning arrow, a vision she believes tells her change is coming. Her life does indeed change when the English ship lands near her village. Between Ratcliffe, who believes the ""savages"" are hiding the gold he expected to be plentiful, and Powhatan, who believes these pale newcomers will destroy their land, Smith and Pocahontas have a difficult time preventing all-out war, and saving their love for each other. Written by Joe Sewell <jsewell@iu.net>",81 min,Sound Mix: Dolby SR,Color,Aspect Ratio: 1.78 : 1 / (high definition),G,6.6,"107,528",209 user,92 critic,null,6 December 1994 - 12 April ,159239860.5,61860477.25,92,107528,209,6.6,6,23,203,5,42,13.10517699,4.231364536,USA,1,1,0,G,9,1
1995,Waterworld (1995),0,Release Date: 28 July 1995 (USA) See more Ф_,"The polar ice caps have melted, and the earth is covered by water. The remaining people travel the seas, in search of survival. Several different societies exist. The Mariner falls from his customary and solitary existence into having to care for a woman and a young girl while being pursued by the evil forces of the Deacon. Written by Robbie Smith <robsmith@u.washington.edu>",135 min,Sound Mix: DTS | DTS-Stereo | Dolby SR,Color,Aspect Ratio: 1.85 : 1,"Rated PG-13 for some intense scenes of action violence, brief nudity and language",6.1,"134,912",299 user,90 critic,null,27 June 1994 - 14 February ,99253696.09,196828791.3,90,134912,299,6.1,7,28,238,6,34,5.063804783,-2.93108157,USA,0,1,0,PG-13,8,1
1995,Showgirls (1995),0,Release Date: 22 September 1995 (USA) See more Ф_,"Nomi Malone, a mysterious young girl with the ambition to dance embarks on a journey to Las Vegas to become a showgirl in a high-class hotel show. There she meets Molly, a seamstress at the Stardust Hotel and the two quickly become good friends. She gets a job as a lap dancer at the seedy Cheetah Club but after a chance meeting with Cristal Connors, the star of Goddess, the current show at the hotel where Molly works, Nomi manages to secure an audition for a spot on the chorus line.However she soon realises that fame comes with a price as her friendships, her morals and her soul are put to the test as she works her way up the ladder and eventually becomes the star of the show, stealing Cristal's part. She begins to wonder if all of her work was for nothing and if she can reclaim her life back before it is too late. Written by David Rush",128 min,Sound Mix: DTS | Dolby Digital | SDDS,Color,Aspect Ratio: 2.35 : 1,"Rated NC-17 for nudity and erotic sexuality throughout, and for some graphic language and sexual violence",4.6,"47,597",443 user,152 critic,null,29 August 1994 - 11 December ,22889224.63,50613117.75,152,47597,443,4.6,9,22,292,4,46,-0.912838447,-2.049263064,USA,0,1,0,NC-17,5,0
1995,Mortal Kombat (1995),0,Release Date: 18 August 1995 (USA) See more Ф_,"Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal - ten wins to be able to legally invade the losing Realm. Outworld has so far collected nine wins against Earthrealm, so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory... Written by CyberRax",101 min,Sound Mix: DTS | Dolby Digital | SDDS (8 channels),Color,Aspect Ratio: 1.85 : 1,Rated PG-13 for non-stop martial arts action and some violence,5.8,"77,828",277 user,69 critic,7 December 1994 - 13 March ,7 December 1994 - 13 March ,79232779.82,20245247.1,69,77828,277,5.8,8,18,258,3,28,4.224867353,8.334965336,USA,0,1,0,PG-13,8,0
1995,Billy Madison (1995),0,Release Date: 10 February 1995 (USA) See more Ф_,"Billy Madison is a 27 year-old man whose father Brian is the head of a major hotel chain. Even though he is groomed to replace his father who is about to retire, Billy is extremely immature and unmotivated in life. When Brian considers making Eric Gordon (whom Billy despises) his new replacement, Billy decides to prove to his father that he is capable of taking over. He must repeat grade school all over again (2 weeks for each grade) in order to take over the hotel empire. The further Billy progresses, the more Eric tries to derail Billy. Written by Sam",89 min,Sound Mix: DTS,Color,Aspect Ratio: 1.85 : 1,Rated PG-13 for language and crude humor,6.4,"98,699",205 user,50 critic,null,26 June 1994 - 29 August ,28780587.04,11247359.5,50,98699,205,6.4,2,10,70,2,23,-0.375632608,4.270645003,USA,0,1,0,PG-13,5,1
1995,Leaving Las Vegas (1995),0,Release Date: 9 February 1996 (USA) See more Ф_,"Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with. Written by Marco van Hoof <k_luifje7@hotmail.com>",111 min,Sound Mix: Dolby | Dolby SR,Color,Aspect Ratio: 1.66 : 1,"Rated R for strong sexuality and language, violence and pervasive alcohol abuse",7.6,"89,191",279 user,118 critic,null,12 September 1994 - 15 October ,35955949.13,4049049.42,118,89191,279,7.6,2,9,69,1,23,-0.210516114,22.47254305,USA,0,1,0,R,6,0
1995,Before Sunrise (1995),0,Release Date: 29 January 1995 (USA) See more Ф_,"American tourist Jesse and French student Celine meet by chance on the train from Budapest to Vienna. Sensing that they are developing a connection, Jesse asks Celine to spend the day with him in Vienna, and she agrees. So they pass the time before his scheduled flight the next morning together. How do two perfect strangers connect so intimately over the course of a single day? What is that special thing that bonds two people so strongly? As their bond turns to love, what will happen to them the next morning when Jesse flies away? Written by randywong70@comcast.net",105 min,Sound Mix: Dolby SR,Color,Aspect Ratio: 1.85 : 1,Rated R for some strong language,8.1,"165,253",382 user,114 critic,null,27 June 1994 - 30 July ,6053206.287,2811839.875,114,165253,382,8.1,1,29,59,1,21,-2.448036374,3.052289203,USA,0,1,0,R,3,1
1995,Four Rooms (1995),0,Release Date: 25 December 1995 (USA) See more Ф_,"This movie features the collaborative directorial efforts of four new filmmakers, each of whom directs a segment of this comedy. It's New Year's Eve at the Mon Signor Hotel, a former grand old Hollywood hotel, now fallen upon hard times. Often using physical comedy and sight gags, this movie chronicles the slapstick misadventures of Ted, the Bellhop. He's on his first night on the job, when he's asked to help out a coven of witches in the Honeymoon Suite. Things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. Next, he foolishly agrees to watch a gangster's kids for him while he's away. Finally, he finishes off the night refereeing a ghastly wager. Written by Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",98 min,Sound Mix: Dolby | Dolby SR,Color,Aspect Ratio: 1.85 : 1,"Rated R for pervasive strong language, sexuality and some drug use",6.7,"72,750",174 user,50 critic,null,10 November 1994 - 22 December ,4837861.609,4498943.8,50,72750,174,6.7,12,25,385,1,47,-2.558857982,-0.179981747,USA,0,1,0,R,2,0
1995,Desperado (1995),0,Release Date: 25 August 1995 (USA) See more Ф_,"With this sequel to his prize-winning independent previous film, ""El Mariachi,"" director Robert Rodriquez joins the ranks of Sam Peckinpah and John Woo as a master of slick, glamorized ultra-violence. We pick up the story as a continuation of ""El Mariachi,"" where an itinerant musician, looking for work, gets mistaken for a hitman and thereby entangled in a web of love, corruption, and death. This time, he is out to avenge the murder of his lover and the maiming of his fretting hand, which occurred at the end of the earlier movie. However, the plot is recapitulated, and again, a case of mistaken identity leads to a very high body count, involvement with a beautiful woman who works for the local drug lord, and finally, the inevitable face-to-face confrontation and bloody showdown. Written by Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>",104 min,Sound Mix: Dolby SR | SDDS (8 channels)| Dolby Digital,Color,Aspect Ratio: 1.85 : 1,"Rated R for strong bloody violence, a strong sex sequence and language",7.2,"130,239",200 user,91 critic,null,18 September 1994 -  November ,28821482.44,7873151.65,91,130239,200,7.2,8,25,265,2,19,-1.101661835,6.981994219,USA,0,1,0,R,5,1
1995,Sense and Sensibility (1995),0,Release Date: 26 January 1996 (USA) See more Ф_,"When Mr. Dashwood dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters (Elinor, Marianne, and Margaret) in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of both practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars, his family disapproves and separates them. And though Mrs. Jennings tries to match the worthy (and rich) Colonel Brandon to her, Marianne finds the dashing and fiery John Willoughby more to her taste. Both relationships are sorely tried. Written by Kathy Li",136 min,Sound Mix: Dolby SR | SDDS (8 channels)| Dolby Digital,Color,Aspect Ratio: 1.85 : 1,Rated PG for mild thematic elements,7.7,"72,951",193 user,63 critic,null,19 April 1995 - 7 July ,48569220.59,18558143.18,63,72951,193,7.7,1,26,56,3,24,1.428800516,4.445433819,USA,0,1,0,PG,7,1
1995,A Little Princess (1995),0,Release Date: 10 May 1995 (USA) See more Ф_,"When her father enlists to fight for the British in WWI, young Sara Crewe goes to New York to attend the same boarding school her late mother attended. She soon clashes with the severe headmistress, Miss Minchin, who attempts to stifle Sara's creativity and sense of self-worth. Sara's belief that ""every girl's a princess"" is tested to the limit, however, when word comes that her father was killed in action and his estate has been seized by the British government. Written by James Meek <james@oz.net>",97 min,Sound Mix: Dolby SR,Color,Aspect Ratio: 1.85 : 1,G,7.7,"23,748",119 user,26 critic,null,11 April 1994 - 11 July ,11269074.78,19120511.15,26,23748,119,7.7,5,10,160,3,33,-1.972425672,-1.637866996,USA,1,1,0,G,4,1
1995,Die Hard: With a Vengeance (1995),0,Release Date: 19 May 1995 (USA) See more Ф_,"John McClane is now almost a full-blown alcoholic and is suspended from the NYPD. But when a bomb goes off in the Bonwit Teller Department Store the police go insane trying to figure out what's going on. Soon, a man named Simon calls and asks for McClane. Simon tells Inspector Walter Cobb that McClane is going to play a game called ""Simon Says"". He says that McClane is going to do the tasks he assigns him. If not, he'll blow off another bomb. With the help of a Harlem electrician, John McClane must race all over New York trying to figure out the frustrating puzzles that the crafty terrorist gives him. But when a bomb goes off in a subway station right by the Federal Reserve (the biggest gold storage in the world) things start to get heated up. Written by SARSman1793",131 min,Sound Mix: Dolby Digital,Color,Aspect Ratio: 2.35 : 1,Rated R for strong violence and pervasive strong language,7.6,"282,159",340 user,143 critic,null,30 July 1994 - 21 December ,112477373,101226235.5,143,282159,340,7.6,5,19,169,5,38,7.720580333,0.00076766,USA,1,1,0,R,9,1
1995,The Prophecy (1995),0,Release Date: 1 September 1995 (USA) See more Ф_,Angels come to Earth to find a human soul that can end the war in heaven. Humans are caught up in this battle and must find a way to stop the angel Gabriel before he takes the soul back from where the angel Simon has hidden it. Written by Aaron Sherman <ajs@ajs.com>,98 min,Sound Mix: Ultra Stereo,Color,Aspect Ratio: 2.35 : 1,"Rated R for violence and gore, and for some language",6.6,"23,492",196 user,55 critic,September 1993 -  November ,27 September 1993 - 8 November ,18126107.35,8997887.6,55,23492,196,6.6,9,1,271,2,27,-2.329054047,1.577828444,USA,0,1,0,R,4,0
1995,Tank Girl (1995),0,Release Date: 31 March 1995 (USA) See more Ф_,"Tank Girl (Rebecca) and her friends are the only remaining citizens living in the wasteland that is Earth, where all the remaining water is controlled by Water and Power, the mega corporation/government that runs the territory. While incarcerated at W + P, Tank Girl and her new friend Jet Girl break out and steal... a tank and a jet. After meeting some mutant kangaroo/humans, and rescuing her little girl (adopted by her friends), the kangaroos and the girls kick Water and Powers' butt. Written by David Flaherty <flaherty@infohouse.com>",104 min,Sound Mix: DTS,Color,Aspect Ratio: 2.35 : 1,"Rated R for violence, language and sexuality",5.2,"23,706",170 user,59 critic,null,21 June 1994 - 27 September ,4571301.438,28118398.75,59,23706,170,5.2,3,31,121,4,25,-2.58316436,-2.918260037,USA,0,1,0,R,2,0
